,signal,anomaly
2004.03.04.09.27.46,0.05199086869475958,0
2004.03.04.09.32.46,0.05223868352946847,0
2004.03.04.09.42.46,0.05480936569168341,0
2004.03.04.09.52.46,0.05426109673323801,0
2004.03.04.10.02.46,0.05323653498705879,0
2004.03.04.10.12.46,0.05501787196640393,0
2004.03.04.10.22.46,0.05454211631427282,0
2004.03.04.10.32.46,0.05285365496362061,0
2004.03.04.10.42.46,0.05535870892133342,0
2004.03.04.10.52.46,0.054706919283167815,0
2004.03.04.11.02.46,0.05414063186678953,0
2004.03.04.11.12.46,0.05481869231896013,0
2004.03.04.11.22.46,0.05493285804970896,0
2004.03.04.11.32.46,0.05403857610234843,0
2004.03.04.11.42.46,0.05467679085892823,0
2004.03.04.11.52.46,0.056564920162116915,0
2004.03.04.12.02.46,0.05632648078519408,0
2004.03.04.12.12.46,0.054268421309633955,0
2004.03.04.12.22.46,0.0567453000634795,0
2004.03.04.12.32.46,0.05581678792909764,0
2004.03.04.12.42.46,0.05505991503491333,0
2004.03.04.12.52.46,0.05841110405781524,0
2004.03.04.13.02.46,0.05806142878070158,0
2004.03.04.13.12.46,0.0565240978563406,0
2004.03.04.13.22.46,0.05706889984862496,0
2004.03.04.13.32.46,0.05583607598027161,0
2004.03.04.13.42.46,0.056460471702719256,0
2004.03.04.13.52.46,0.05494164754138333,0
2004.03.04.14.02.46,0.054227110698764056,0
2004.03.04.14.12.46,0.056749011182186254,0
2004.03.04.14.22.46,0.05455183358562366,0
2004.03.04.14.32.46,0.05539708970164524,0
2004.03.04.14.42.46,0.05516778162996174,0
2004.03.04.14.52.46,0.05613179354460589,0
2004.03.04.15.02.46,0.05657307485717059,0
2004.03.04.15.12.46,0.055843888861760636,0
2004.03.04.15.22.46,0.05433776063284297,0
2004.03.04.15.32.46,0.05440949265100757,0
2004.03.04.15.42.46,0.0560467307974018,0
2004.03.04.15.52.46,0.05568494555398126,0
2004.03.04.16.02.46,0.05468802187606733,0
2004.03.04.16.12.46,0.05516367986718069,0
2004.03.04.16.22.46,0.05453972361931692,0
2004.03.04.16.32.46,0.05429967283558714,0
2004.03.04.16.42.46,0.05291757410029683,0
2004.03.04.16.52.46,0.05478543874212538,0
2004.03.04.17.02.46,0.05398559499975533,0
2004.03.04.17.12.46,0.05425093998730368,0
2004.03.04.17.22.46,0.05539289027784538,0
2004.03.04.17.32.46,0.053587870501488485,0
2004.03.04.17.42.46,0.053743932809218506,0
2004.03.04.17.52.46,0.05544328336344473,0
2004.03.04.18.02.46,0.05307744518775264,0
2004.03.04.18.12.46,0.05608652766248303,0
2004.03.04.18.22.46,0.053575467552126325,0
2004.03.04.18.32.46,0.055568338297767673,0
2004.03.04.18.42.46,0.054350065921187185,0
2004.03.04.18.52.46,0.05412608037501763,0
2004.03.04.19.02.46,0.05367933004541185,0
2004.03.04.19.12.46,0.05507685922164102,0
2004.03.04.19.22.46,0.05363401533277906,0
2004.03.04.19.32.46,0.05308901801845739,0
2004.03.04.19.42.46,0.055958152253526836,0
2004.03.04.19.52.46,0.05482606572586429,0
2004.03.04.20.02.46,0.05621763757995953,0
2004.03.04.20.12.46,0.05658401289125458,0
2004.03.04.20.22.46,0.05352629522925846,0
2004.03.04.20.32.46,0.05406694662825295,0
2004.03.04.20.42.46,0.05562190536647238,0
2004.03.04.20.52.46,0.054232335563259605,0
2004.03.04.21.02.46,0.053521021534254185,0
2004.03.04.21.12.46,0.056703745300063176,0
2004.03.04.21.22.46,0.054214512427363776,0
2004.03.04.21.32.46,0.054263977733286964,0
2004.03.04.21.42.46,0.0534508520923863,0
2004.03.04.21.52.46,0.0551852141217827,0
2004.03.04.22.02.46,0.05406748376385476,0
2004.03.04.22.12.46,0.053664632062111466,0
2004.03.04.22.22.46,0.05527335319107339,0
2004.03.04.22.32.46,0.05454460667024676,0
2004.03.04.22.42.46,0.05322564578348498,0
2004.03.04.22.52.46,0.054475609160603164,0
2004.03.04.23.02.46,0.0526736168758231,0
2004.03.04.23.12.46,0.054665803994335016,0
2004.03.04.23.22.46,0.053234630597196166,0
2004.03.04.23.32.46,0.05479193319986273,0
2004.03.04.23.42.46,0.055576541823330376,0
2004.03.04.23.52.46,0.054663557790906946,0
2004.03.05.00.02.46,0.053643000146490295,0
2004.03.05.00.12.46,0.055206553054347594,0
2004.03.05.00.22.46,0.053069534645245504,0
2004.03.05.00.32.46,0.05365559841789093,0
2004.03.05.00.42.46,0.055050051272033586,0
2004.03.05.00.52.46,0.054423751159724504,0
2004.03.05.01.02.46,0.05292992821915028,0
2004.03.05.01.12.46,0.053262659309535804,0
2004.03.05.01.22.46,0.05460032228136073,0
2004.03.05.01.32.46,0.05330265149665428,0
2004.03.05.01.42.46,0.053125347917377996,0
2004.03.05.01.52.46,0.052828604912348365,0
2004.03.05.02.02.46,0.05394970457541807,0
2004.03.05.02.12.46,0.052903120269543455,0
2004.03.05.02.22.46,0.05343805849894931,0
2004.03.05.02.32.46,0.05334884515845422,0
2004.03.05.02.42.46,0.052211533766296274,0
2004.03.05.02.52.46,0.053083549001415486,0
