,B1_a_mean,B1_a_std,B1_a_skew,B1_a_rms,B1_a_p2p,B1_b_mean,B1_b_std,B1_b_skew,B1_b_rms,B1_b_p2p,B2_a_mean,B2_a_std,B2_a_skew,B2_a_rms,B2_a_p2p,B2_b_mean,B2_b_std,B2_b_skew,B2_b_rms,B2_b_p2p,B3_a_mean,B3_a_std,B3_a_skew,B3_a_rms,B3_a_p2p,B3_b_mean,B3_b_std,B3_b_skew,B3_b_rms,B3_b_p2p,B4_a_mean,B4_a_std,B4_a_skew,B4_a_rms,B4_a_p2p,B4_b_mean,B4_b_std,B4_b_skew,B4_b_rms,B4_b_p2p
2003-10-22 12:06:24,0.10414785878216577,0.08112446002473203,-0.029899883594555293,0.1246167666966247,1.108,0.10025274671614601,0.0706505711943794,0.22022735725336298,0.11749570579771156,1.265,0.10714727281605542,0.0906501978046057,-0.09218191865621632,0.13045219969436278,1.033,0.1020041505932894,0.07751107661742591,-0.05311768891453075,0.12164449804846963,0.786,0.1061485424092972,0.09146520656672369,0.03435077024292397,0.12888810859931002,0.896,0.10815034913814177,0.0954899021102532,-0.022286462287165937,0.13182101379045005,1.199,0.09480252942037912,0.06008690094579486,0.04653225469174712,0.10901942474811892,0.6619999999999999,0.09951311099174552,0.06638240883737173,0.008208297950525046,0.11526596775470135,0.845
2003-10-22 12:09:13,0.10365130133307263,0.07951915125653536,-0.070118408765369,0.12381151925175898,1.042,0.09985399677718516,0.06953237800287225,0.12654191511211255,0.11683415901996319,1.072,0.10818902290150831,0.09026211048387045,-0.1014952672254204,0.1314901231015672,0.9359999999999999,0.10291996679525246,0.07674205282044781,-0.03307013165991345,0.12218059525284956,0.867,0.10666092094340458,0.09173657746074011,0.0011107207433082562,0.12956395203480892,1.059,0.10845846965183814,0.09438592734198338,-0.028727589889673263,0.13205224367027038,0.9929999999999999,0.09507007178084655,0.05942276149203446,0.08515163427395048,0.10890001175026105,0.796,0.09358694272181106,0.0647470023602699,-0.05372131213031131,0.10920997904238249,0.9
2003-10-22 12:14:13,0.10503872259387531,0.0802202674454308,-0.04157888521347248,0.12524886033604965,0.94,0.10154265344987368,0.06946635036391319,0.15114652406863366,0.11838683477721171,1.018,0.10854343473802402,0.09023538435032989,-0.0921756138012194,0.13190083848455755,0.952,0.10404179891596153,0.07710005305581673,-0.0289523829519523,0.12357403970189895,0.718,0.10874022169051152,0.0918171278457766,0.05303123020288436,0.13133931726851483,0.987,0.10987538454026002,0.09405534762000183,0.01956565521818939,0.1332945881820965,0.984,0.09615777137555355,0.05997077945426486,0.009628373212851303,0.11032030062024778,0.657,0.09829854973387152,0.06525607097832894,0.04706920542115504,0.11369514143015734,0.977
2003-10-22 12:19:13,0.104900141608476,0.08082789199171027,0.0052346127112735735,0.12520001010931908,1.055,0.10157331900971574,0.07126754477427533,0.09959902670844334,0.11900723797961901,1.009,0.10815152107036474,0.09027656412773637,-0.10578074878598254,0.13161619595716284,0.8839999999999999,0.1033777528199605,0.07653113696330201,-0.050478201813396135,0.12274962339038985,0.727,0.10806826505200438,0.09238598548045672,-0.023743807913193936,0.1310777752824883,0.8740000000000001,0.11001010791542495,0.09650841991320575,-0.008437738764752706,0.13397232609529022,1.036,0.09681385809853772,0.059918235972501635,-0.03723982252282693,0.111038275200491,0.591,0.0986017871966387,0.06630428478131055,0.021169111520284202,0.1144148651412964,0.8520000000000001
2003-10-22 12:24:13,0.10477860247082281,0.0820375404021458,-0.060122898384876874,0.12562079586877653,1.0110000000000001,0.10218111235900035,0.0721489925755652,0.09604275249462468,0.11967926908044382,0.923,0.10794330777870006,0.08886574304552178,-0.09198861111152558,0.1307802151364132,1.0739999999999998,0.10262947409541347,0.07604673618793203,-0.04440182247713034,0.12186871718265313,0.837,0.10845397724498233,0.09193610428103788,0.027090965604155224,0.1313091550275625,0.998,0.10934962644660358,0.09504738514676864,-0.024844173243616957,0.13328195652654462,1.055,0.09635758581961792,0.059257440064578296,0.03643478518986099,0.11018913530531482,0.591,0.09847082377068972,0.06628102077620263,0.008713377299682454,0.1142598996763797,0.871
2003-10-22 12:29:13,0.10523145661409183,0.08173142902738784,-0.054096577579904846,0.12599098366642225,0.996,0.10172996728355743,0.07184707418308785,0.1187972656617021,0.11927915235829703,1.294,0.10768069729967258,0.08987144732954203,-0.048928584997084607,0.13043447606561334,1.023,0.1023103178866139,0.07628358575526084,-0.03493709599990982,0.12171793490092865,0.6639999999999999,0.10850832560183535,0.09353829409844172,-0.014764234203043857,0.13171223480936192,0.876,0.11045021729576565,0.09630406051602483,0.06247158878062096,0.13408617854397661,1.0230000000000001,0.10697182479613068,0.05860804114200455,0.006740462095831966,0.120047990794326,0.559,0.0981802822403418,0.06540384797527163,-0.005607198207765889,0.11372552395812806,0.681
2003-10-22 12:34:13,0.1050312515259525,0.08131517332356702,-0.021053227730586162,0.12548035366625646,1.106,0.10104375213633236,0.0707894778615513,0.05889063872180042,0.11834491320858607,0.881,0.10827496459788083,0.09065980309366761,-0.08316498765181868,0.13156519303954298,0.859,0.10279124957273209,0.07679067201139482,-0.04193101171562682,0.12222678903741359,0.72,0.10836578934518278,0.09215533960949414,0.01730575742812576,0.13103604090410045,0.8180000000000001,0.10962161238341622,0.09513896179722735,0.012777275688323288,0.13300564108920665,0.984,0.05172244738512496,0.06349435681768838,-0.012954135524826091,0.06614798511933985,0.64,0.09706572586551844,0.06471420051747376,-0.06834149826559086,0.11268466199305341,0.749
2003-10-22 12:39:13,0.10477469603007789,0.08022976366057681,-0.014141853564814403,0.12507694726232224,0.984,0.10137726451486738,0.07094217239059439,0.054149370240514534,0.11871513104067563,0.942,0.10730099125933838,0.08876291106256691,-0.06977764842062137,0.13001327276953278,0.877,0.10293974315151892,0.07645650122240695,-0.03463212369309266,0.12214111800557477,0.839,0.10792641242248038,0.0916531751785963,0.049847763438383645,0.1307764230502638,1.167,0.1097424678939393,0.09581905617026579,-0.03438178598443667,0.13356649831869818,0.979,0.10254480199228255,0.05840746178249287,0.023723037929934326,0.1157417926108174,0.591,0.09795385516870722,0.06492919003698998,-0.014279618264228336,0.11333356496684101,0.788
2003-10-22 12:44:13,0.10517222520630835,0.08080931746770913,-0.020660784331660114,0.12538639376578684,1.109,0.10175423604668038,0.07180451084337094,0.13326975529321416,0.11918066622861044,1.043,0.10840749060012635,0.08871428758350995,-0.06394272835974815,0.13122712255188232,0.8979999999999999,0.10315523218907029,0.07601444016689485,-0.05649397578560646,0.12251817281949996,0.708,0.10857766492504477,0.09107732746618803,0.0354222078950657,0.13096235987522184,0.9209999999999999,0.108821817471555,0.09360688436083588,0.0007495989836510235,0.1320974204985407,1.025,0.06754958738219653,0.060298534509719184,-0.08106207152715439,0.08290761744803496,0.627,0.09769603007959125,0.06423132769571743,0.044016497390364305,0.11285137713798422,0.954
2003-10-22 12:49:13,0.10438307534547497,0.08125024496268239,0.01293040949566213,0.12482812422952629,1.104,0.10131153864934632,0.07143810690499039,0.09592140533332107,0.11872278473081306,0.994,0.1069277796767418,0.08853257450884844,-0.08524197917251944,0.12981795033624355,0.784,0.10247468138092608,0.07577194878677654,-0.014971014167543708,0.12163952636272767,0.8400000000000001,0.10819229454563191,0.09197976997364384,0.03548848694629352,0.1310127767556517,0.97,0.10951701743249113,0.09558276500130321,0.032022764756744974,0.13321971808184016,1.123,0.08474984130084383,0.05982799422475687,-0.026510120176531787,0.09949603121506995,0.6819999999999999,0.0980015625762962,0.06597661469499433,0.029880792355310246,0.11358475022280892,0.747
